,index,jobName,tags,area,workYear,degree,companyName,companyType,companySize,logo,min_salary,max_salary
8858,8858,React初中高级前端开发（证券行业加班少）,"javascript,前端框架,react,前端,解决方案,node.js,前端设计,技术难点攻关,web系统,框架设计,五险一金,补充医疗保险,员工旅游,交通补贴,餐饮补贴,专业培训,绩效奖金,年终奖金,定期体检,员工体检",深圳深圳福田区,3-4年,本科,深圳市睿服科技有限公司,民营,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/6/5201/5200657/5200657_300.png?637734296059628483,12000,24000
8859,8859,前端开发工程师-React,"前端开发,web前端,跨终端,原生js,html5,react,webpack,mobile,pc",四川省成都武侯区,5-7年,本科,恩士迅信息科技（中国）有限责任公司,合资,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/7/6631/6630192/6630192_300.jpg?637613416036879601,16250,22750
8860,8860,React前端开发工程师,"react,计算机,前端,html,css,javascript,es6,五险一金,五险一金",上海上海浦东新区,5-7年,本科,中软国际科技服务有限公司,合资,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/3/2556/2555714/2555714_120.gif?635699859442086377,13000,17000
8861,8861,前端开发工程师（React）,"react,前端,lims,五险一金,餐饮补贴,交通补贴,定期体检,年终奖金,专业培训",上海上海,3-4年,本科,上海派森诺生物科技股份有限公司,已上市,150-500人,https://img01.51jobcdn.com/fansImg/CompLogo/3/2656/2655027/2655027_120.gif?635699859825851297,10000,15000
8862,8862,前端工程师（react）,"git,js,前端开发,react,供应商管理,webpack,mes,wms,redux,开发模式,带薪年假,六险一金,带薪年假,年节礼品",广东省广州番禺区,3-4年,本科,德科信息有限公司,民营,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/4/3133/3132608/44579122226280725435_300.png?1699322716396,12000,18000
8863,8863,React前端开发工程师,"react,前端开发,es6,五险一金,绩效奖金,弹性工作",江苏省南京雨花台区,3-4年,大专,南京颐道信息技术有限公司,民营,,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,10000,15000
8864,8864,前端（react）,"react,调优,nginx,五险一金,绩效奖金,五险一金,绩效奖金",深圳深圳福田区,5-7年,本科,中软国际科技服务有限公司,合资,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/3/2556/2555714/2555714_120.gif?635699859442086377,15000,18000
8865,8865,前端开发工程师（react&RN）,"react,reactnative,web,app端开发,移动应用开发,五险一金,双休不加班,年终奖金,餐饮补贴,午休1.5小时,领导nice,扁平化管理,居家物流岗",上海上海浦东新区,3-4年,本科,上海弘昊化工有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_trade.png,16250,27083
8866,8866,React前端开发工程师,"react,免费班车,补充医疗保险,五险一金",广东省广州,5-7年,本科,海南钦诚软件技术有限公司,民营,,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,15000,22000
8867,8867,前端 react-互联网医疗健康-张江,"前端,react,前端框架,前端技术,复星健康,互联医疗,mvvm,计算机,前后端,https协议,五险一金,年终奖金,做五休二",上海上海浦东新区,3-4年,本科,上海复深蓝软件股份有限公司,已上市,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/1/103/102233/102233_120.gif?635700457649486530,14000,15000
8868,8868,React前端开发工程师,"react,webpack,组件化开发,前端构建,页面架构布局,yarn,微信公众号,git,jquery,前端开发,五险一金,专业培训,员工旅游,年终奖金,定期体检,周末双休,带薪年假,健身房,全勤奖,绩效奖金",广东省广州越秀区环市东路,2年,本科,广东大旗财税顾问有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/3/2468/2467999/2467999_300.png?637332880236795698,10000,12000
8869,8869,React前端开发工程师,"前端,前端开发,五险一金,补充医疗保险,补充公积金,弹性工作,年终奖金,定期体检",江苏省南京,3-4年,本科,中软国际科技服务有限公司,合资,10000人以上,https://img01.51jobcdn.com/fansImg/CompLogo/3/2556/2555714/2555714_120.gif?635699859442086377,9000,11000
8870,8870,React前端开发工程师,"react,金融行业,前端开发,五险一金,五险一金,节假福利,双休",上海上海浦东新区,3-4年,本科,上海云逐信息技术有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,11000,17000
8871,8871,前端react,"计算机,前端,前端开发,react,五险一金,专业培训,年终奖金,免费班车,员工旅游,出国机会,交通补贴,餐饮补贴,通讯补贴,定期体检",上海上海浦东新区,3-4年,本科,上海复深蓝软件股份有限公司,已上市,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/1/103/102233/102233_120.gif?635700457649486530,10000,15000
8872,8872,React前端开发工程师,"react,专业培训,年终奖金,股票期权,定期体检,拓展培训,绩效奖金,五险一金",江苏省南京建邺区,3-4年,本科,南京争锋信息科技有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/5/4072/4071357/4071357_300.png?637474230648189738,10000,13000
8873,8873,React前端开发工程师,"前端,git,web,react,webpack,前端框架,node.js,模块化开发,五险一金,餐饮补贴,定期体检,通讯补贴,年终奖金,绩效奖金,专业培训,补充医疗保险",上海上海杨浦区,3-4年,本科,成都迈思信息技术有限公司,民营,1000-5000人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,12000,12000
8874,8874,React前端开发工程师,"五险一金,绩效奖金,餐饮补贴",广东省广州天河区,3-4年,本科,京北方信息技术股份有限公司广州分公司,民营,10000人以上,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_compuserve.png,12000,15000
8875,8875,React前端开发工程师,"css,html,前端,前端开发,react,web端,antdesign,交易系统,Electron,前端架构设计,五险一金,年终奖金,股票期权,定期体检,员工旅游",上海上海浦东新区陆家嘴,3-4年,本科,深圳市睿服科技有限公司,民营,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/6/5201/5200657/5200657_300.png?637734296059628483,15000,18000
8876,8876,React前端开发工程师,"前端,前端开发,react,维护,react框架,五险一金,带薪年假",上海上海浦东新区,3-4年,本科,上海复深蓝软件股份有限公司,已上市,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/1/103/102233/102233_120.gif?635700457649486530,15000,20000
